제목,기사미리보기,카테고리,기자,날짜	
"[밀착카메라] "쥐도 왔다 갔다"…대학 청소노동자 휴게실 가보니","[앵커]서울대에서 청소 노동자가 일하다 숨진 사건을 계기로 이들의 쉴 곳과| 쉴 권리를| 제대로 보장해달라는 목소리가 높습니다. 청소 노동자들의 휴게실이 어떤 모습인지 밀착카메라가 둘러보니 애초에 공간을 ...","사회","조소희 기자",2021-07-16 20:58:00
"부상에 포기한 야구선수 꿈…"대학도 포기하래요"","[앵커]한 해 고교 야구부 졸업생은 약 천 명입니다. 이 가운데 100명 정도만 프로팀에 갑니다. 그렇지 못한 나머지 900명을 위해서 정부는 10년째 공부하는 학생 선수가 되자고 강조하고 있지만 현장의 모습은 좀 ...","사회","김나한 기자",2021-07-16 20:56:00
"'성매매 비서관 재임용' 박수영 의원 "모든 당직 사퇴"","[앵커]국민의힘 박수영 의원이 성매매 적발 전력이 있는 비서관을 다시 임용한 걸로 드러났습니다. 박 의원은 사과하고 모든 당직에서 사퇴했습니다.최수연 기자입니다.[기자]국민의힘 박수영 의원이 오늘(16일) 새...","정치","최수연 기자",2021-07-16 20:55:00
"[단독] '이재명 지지 대화방' 속 거친 말…방장은 공직유관단체 소속","[앵커]민주당 대선후보 경선이 뜨거워지면서 지지자들의 충돌도 잦아지고 있습니다. 저희가 예비경선 과정에서 집중 공격을 받았던 이재명 경기지사의 지지자들이 반격을 준비하자고 만든 대화방의 내용을 파악해봤...","정치","고승혁 기자",2021-07-16 20:54:00
"[단독] '무능력' 낙인찍는 후견제…취업 막히는 장애인들","[앵커]우리 헌법은 직업 선택의 자유를 보장합니다만| 과연 장애인이 느끼기에도 그럴까요. 장애가 있거나 병에 걸려서 도움이 필요한 경우 법적으로 다른 사람의 후견을 받을 수 있습니다. 그런데 이렇게 후견을 ...","사회","오선민 기자",2021-07-16 20:45:00
""밀접접촉 선수도 경기 전 음성이면 출전"…논란 예상","[앵커]다음주에 개막하는 도쿄올림픽에서는 확진자와 밀접 접촉한 선수도 경기 전에 받은 코로나 검사에서 음성이 나오면| 뛸 수 있을 걸로 보입니다. 애초에 내놨던 방역 규정대로면 이럴 경우 음성이어도 분리시...","국제","김소현 기자",2021-07-16 20:43:00
"독일 100년만의 기록적 폭우…108명 사망| 1300명 실종","[앵커]지금 서유럽엔 물난리가 났습니다. 독일에선 백 년 만의 기록적인 폭우로 100명 넘게 목숨을 잃었고 한 지역에서만 1|300명이 실종됐습니다.김지아 기자가 전합니다.[기자]구조대원이 넘쳐난 물에 휩쓸려 떠...","국제","김지아 기자",2021-07-16 20:42:00
"'델타' 불안에 물 건너간 트래블 버블…"빈 비행기 뜰 판"","[앵커]다음 주 토요일부터| 코로나19 백신을 맞은 사람은 사이판으로 단체 여행을 갈 수 있습니다. 자가격리 없이 여행할 수 있는 트래블 버블 협정에 따른 건데요. 그런데 최근 델타변이가 생기면서 확진자가 크게...","경제","송지혜 기자",2021-07-16 20:37:00
"민주노총 집회 참석자 첫 확진…김부겸 "전원 검사 받아달라"","지난 3일 열린 민주노총의 서울 도심집회 참석자 가운데 첫 확진자가 발생했다.김부겸 국무총리는 17일 총리실을 통해 입장문을 내고 이같이 밝혔다.총리실에 따르면 확진자는 한 노조 소속 50대 여성으로| 확진 이...","사회","",2021-07-17 21:31:00
"[날씨] 18일도 무더위…전국 대부분 돌풍과 함께 '소나기'","일요일인 18일도 무더위가 이어지겠습니다.수도권과 강원영서| 충청| 전라권을 중심으로 낮 기온이 32도 이상으로 오르겠습니다.또 전국 대부분 지역에서 돌풍과 천둥·번개를 동반한 소나기도 예보돼 있습니...","날씨","박진규 기자",2021-07-17 19:49:00
"'욱일기 응원 금지' 조건으로…'이순신 현수막' 내렸다","[앵커]도쿄올림픽 우리 선수촌에 내걸렸던 이 현수막| 결국 사흘 만에 내려졌습니다. 대한체육회는 욱일기 응원을 금지하는 조건 아래 이 문구를 걷었습니다. 전 세계 대표팀이 모여드는 선수촌에선 첫 코로나19 확...","국제","최하은 기자",2021-07-17 19:48:00
"공포영화 보고는 싶고…불 켜고 보는 '겁쟁이 상영회'","[앵커]한여름 극장가에는 간담을 서늘하게 하는 공포영화가 속속 개봉하고 있는데요. 영화를 보고는 싶지만 언제 무서운 장면이 나올까 두려워하는 사람들을 위해| 불을 켜고 보는 상영관도 등장했습니다.정재우 기...","문화","정재우 기자",2021-07-17 19:43:00
"1월 이후 처음으로…미국 '모든 주'에서 확진자 증가","[앵커]델타 변이로 코로나가 다시 퍼지고 있는 미국 상황이 심상치 않습니다. 50개 주 모두에서 확진자가 늘고 있습니다. 백신을 맞았어도 마스크를 써야 하는 곳이 계속 증가하고 있습니다.워싱턴 임종주 특파원이...","국제","임종주 기자",2021-07-17 19:42:00
"[발품뉴스] '일상' 챙겨 떠나는 휴식…코로나 속 '워케이션'","[앵커]코로나로 재택근무 하는 사람들이 많아지면서| 휴가지에서 일을 하는 '워케이션'이 인기라고 합니다. 요즘은 코로나가 특히 심각해지면서 깊은 산골 같이| 사람 없는 곳을 찾는 분들이 많다는데요.발품뉴스 ...","사회","윤정식 기자",2021-07-17 19:41:00
"[단독] '근거 없는' 청소노동자 시험| 사실상 승인한 윗선…회의록 입수","[앵커]숨진 서울대 청소노동자 보도| 이어갑니다. 저희 취재진은 고인이 일했던 곳의 한 달 치 회의록을 입수했습니다. 이 회의록에는 관장을 비롯한 책임자들이 청소노동자들에게 시험을 보게 한 것을 사실상 승인...","사회","이자연 기자",2021-07-17 19:33:00
"[크로스체크] 2년째 희망고문…'벼랑 끝' 자영업| 그 뒤 제도적 문제","거리로 나온 자영업자"앉아서 죽을 순 없다""지금 매출이 창피한데…오늘 10만 원도 못 팔았어요""저희가 살 수가 없어서요. 생계가 막막해서…"[앵커]저녁 6시부턴 2명까지만 모일 수 있는 사실상 야...","경제","서준석 기자 / 윤재영 기자",2021-07-17 19:21:00
"의정부 양말공장서 큰불…울산에선 '염산 5.5톤' 누출","[앵커]오늘(17일) 오후 경기도 의정부시에 있는 양말 공장에 불이나 2천 제곱미터 공장이 탔습니다. 울산에선 화공약품 유통업체에서 염산 5.5톤 가량이 누출되기도 했습니다.주말 사건사고 배승주 기자입니다.[기...","사회","배승주 기자",2021-07-17 19:15:00
"'가짜 수산업자 금품 의혹' 엄성섭 전 TV조선 앵커 소환","[앵커]가짜 수산업자 금품수수 의혹을 수사 중인 경찰이 엄성섭 전 TV조선 앵커를 소환 조사했습니다. 아우디 등 차량을 제공받았다는 의혹을 수사하기 위해서입니다. 총경급 경찰 간부 역시 불러 조사한 걸로 파악...","사회","박지영 기자",2021-07-17 19:14:00
"윤석열 '광주행' 최재형 '부산행'…이재명은 '견제구'","[앵커]다음은 정치권 소식입니다. 야권 대선주자의 제헌절 행보가 묘하게 대비되는 하루였습니다. 윤석열 전 검찰총장은 오늘(17일) 광주 5.18 묘지를 찾았고| 국민의힘에 입당한 최재형 전 감사원장은 부산을 향했...","정치","최수연 기자",2021-07-17 19:08:00
