제목,기사미리보기,카테고리,기자,날짜	
"'도쿄에 들어가는 게 올림픽' 취재진도 고난의 도쿄행","[앵커]이렇게 도쿄에 들어가는 것 자체가 힘든 건 선수단만의 이야기는 아닙니다. 저희 취재진도 올림픽 소식을 전하기 위해 현지에 도착을 했는데요. 오늘(19일)까지 격리중이라 방역 수칙을 지켜 화상으로 연결을...","국제","온누리 기자",2021-07-19 20:25:00
"이웃 주민들도 몰랐다…원룸 꼭대기층 '마약 공장'","[앵커]도심 원룸에서 시가 33억 원어치의 필로폰을 만든 30대가 구속됐습니다. 꼭대기 층에 살면서 환풍 시설까지 갖춰 놓고 일반 의약품을 산 뒤 마약 성분만 뽑아냈습니다.구석찬 기자입니다.[기자]약품을 끓이는...","사회","구석찬 기자",2021-07-19 20:25:00
"'바라던 바다' 김고은 "바다 정화에 대한 인식 생겼으면"","바다 지킴이 김고은이 꿋꿋이 바다로 가는 이유를 전했다.20일(화) 밤 9시에 방송되는 JTBC '바라던 바다'에서는 바다 정화 활동을 위해 포항 낚시공원 근처 바다로 향한 김고은의 이야기가 공개된다.김고은은 바다...","연예","",2021-07-20 21:23:00
"[날씨] 전국 대부분에 폭염 특보…서울 낮 최고 36도","전국 대부분 지역에 폭염 특보가 내려진 가운데 내일(21일)은 오늘보다 기온이 더 오르겠습니다.내일 낮 최고기온은 서울과 춘천 36도| 광주 35도| 대구 33도 등 서쪽 지역을 중심으로 35도 안팎이 예상됩니다.기상...","날씨","김세현 기자",2021-07-20 21:16:00
"철인도 참기 힘든 '도쿄 바다 악취'…"오수에서 수영하는 것"","[앵커]그런가하면 악취가 나는 도쿄 앞바다도 문제입니다. 철인 3종 경기가 여기서 열리는데 누가 철인이 되느냐 보다 건강하게 헤엄칠 수 있을지부터 걱정하고 있습니다.정재우 기자입니다.[기자]스포츠에서 가장 ...","스포츠","정재우 기자",2021-07-20 21:15:00
"[오늘| 이 장면] 손도 못 대게 하는 '절묘한 드롭샷'","< 페르 2:0 코발리크｜스위스오픈 1라운드 >테니스에서 가장 완벽한 장면이라면 상대가 아예 손도 못대게 하는 아름다운 샷을 꼽을 수 있을텐데요.스위스 오픈에선 상대를 약올리듯 한껏 회전이 걸린 공이 네트를 ...","스포츠","오광춘 기자",2021-07-20 21:12:00
"8km '도심 추격전'…음주차량 쫓고| 가로막은 시민들","[앵커]어제(19일) 새벽| 대전 도심에서 음주 차량과 경찰이 추격전을 벌였습니다. 운전자는 신호도 무시하고 역주행을 하면서 8km를 달아나다 붙잡혔습니다. 뒤를 따라가면서 위치를 알리고 차량 앞을 가로막았던 ...","사회","정영재 기자",2021-07-20 21:11:00
"남아공 축구팀 21명 격리…'첫 경기' 일본전 불투명","[앵커]도쿄올림픽 선수촌에 가 있는 남아프리카공화국 축구팀 21명이 한꺼번에 격리됐습니다. 당장 모레(22일) 일본과의 첫 경기부터 불확실해졌습니다.김소현 기자입니다.[기자]선수단 3명이 확진되면서 선수촌에 ...","스포츠","김소현 기자",2021-07-20 21:11:00
"'1톤 넘게 과적'…횡단보도 덮친 트레일러에 12명 사상","[앵커]오늘(20일) 전남 여수에서 승용차를 실어 나르는 트레일러가 횡단보도를 건너던 사람들을 덮쳤습니다. 3명이 숨지고 9명이 다쳤습니다. 저희 취재 결과| 이 트레일러는 무게를 1톤 넘게 초과해서 실은 걸로 ...","사회","배승주 기자",2021-07-20 21:05:00
"이상돈 "검찰권 적극적 행사한 사람| 대통령 안맞아"","▶ 방송 : JTBC 〈썰전 라이브〉 (월~금 저녁 6시)▶ 진행 : 박성태 앵커▶ 출연 : 이상돈 중앙대학교 명예교수이상돈 "검찰권 적극적으로 행사한 사람이 별안간 대통령 돼서 안돼" 이상돈 "민주당| 권리당원에 집착...","정치","박성태 기자",2021-07-20 21:02:00
"[백브리핑] 추미애 "이재명 엄호? 국민 누나 됐다더라"","뉴스 뒤에 숨은 이야기 백브리핑 시작합니다.첫 번째 브리핑 < "내가 국민 누나" > 입니다.문근영| 수지| 아이유 그리고 유승호| 박보검| 여진구.이들의 공통점은요? 소위 국민 여동생| 국민 남동생이라 불리거나| ...","정치","최종혁 기자",2021-07-20 21:01:00
"[단독] 밤마다 '수상한 소음'…LH 임대주택 받아 '숙박장사'","[앵커]추적보도 훅입니다. 오늘(20일)은 이른바 행복주택이 불법 숙박업소로 쓰이는 실태를 추적했습니다. 세금을 투입해서 공급한 공공 임대주택들이 개인의 돈벌이에 쓰이고 있는 겁니다.최수연 기자가 취재했습...","경제","최수연 기자",2021-07-20 20:51:00
"펄펄 끓는 무더위…"문 열고 에어컨 켤 수밖에" 한숨","[앵커]37도| 경기도 동두천의 오늘(20일) 낮 최고 기온입니다. 전국에서 가장 높았습니다. 서울은 열흘째 폭염 특보가 이어지고 있습니다. 오늘 저희 취재진이 남산에서 열화상 카메라로 찍은 도심의 모습인데요. ...","사회","박상욱 기자",2021-07-20 20:49:00
"사료 내밀자…'남양주 살인견' 그에게만 반응했다","[앵커]두 달 전| 50대 여성이 개에 물려 숨졌습니다. 바로 옆에서 '개 농장'을 운영한 사람은 자신의 개가 아니라고 주장했습니다. 하지만 경찰은 거짓말이라고 결론냈습니다. 이 사람이 개 주인이 맞다는 근거는 ...","사회","여도현 기자",2021-07-20 20:48:00
"'불법 좌회전' 화물차와 쾅…운전자 등 10대 4명 숨져","[앵커]오늘(20일) 새벽 전주의 한 도로에서 승용차가 불법으로 좌회전하던 대형 화물차를 들이받았습니다. 이 사고로 대학생 등 10대 4명이 목숨을 잃었습니다.정진명 기자입니다.[기자]14톤 대형 화물차가 도로를 ...","사회","정진명 기자",2021-07-20 20:44:00
"[JTBC 여론조사] '양강'서 '3강'으로…세 대선주자 이미지 변화는?","[앵커]이재명| 윤석열| 이낙연 세 대선주자의 지지율이 오차범위 안으로 좁혀져 3강 구도가 만들어졌다는 JTBC 여론조사 결과를 어제(19일) 전해드렸습니다. 저희는 이번 조사에서 세 주자의 이미지가 좋아졌는지| ...","정치","안지현 기자",2021-07-20 20:34:00
"김재원 "윤석열 당근 정도 비유...식당 망하려고"","▶ 방송 : JTBC 〈썰전 라이브〉 (월~금 저녁 6시)▶ 진행 : 박성태 앵커▶ 출연 : 이상민 더불어민주당 경선 선거관리위원장 / 김재원 국민의힘 최고위원김재원 “지지율 1위 후보를 당근 정도 비유...식당 망...","정치","박성태 기자",2021-07-20 20:30:00
